"athlete","trainingDate","season","rpetl"
"Max Zuniga",2015-09-28,"Fall 2015",0
"Torben Mcclelland",2015-09-28,"Fall 2015",140
"Steve Galligan",2015-09-28,"Fall 2015",0
"Marzooq al-Fahs",2015-09-28,"Fall 2015",140
"Muhaajir al-Mirza",2015-09-28,"Fall 2015",0
"Shawn James",2015-09-28,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-28,"Fall 2015",70
"Taaha el-Qazi",2015-09-28,"Fall 2015",210
"Lawrence Tamayo",2015-09-28,"Fall 2015",140
"Bishr el-Hamdan",2015-09-28,"Fall 2015",140
"Arun Bruckner",2015-09-28,"Fall 2015",140
"Mori Tani",2015-09-28,"Fall 2015",140
"Saleem el-Sham",2015-09-28,"Fall 2015",210
"Kong Meng Hutchinson",2015-09-28,"Fall 2015",0
"Naadir el-Mahdavi",2015-09-28,"Fall 2015",70
"Tayyib al-Wahab",2015-09-28,"Fall 2015",280
"Brandon Troxel",2015-09-28,"Fall 2015",140
"Aqeel al-Hossain",2015-09-28,"Fall 2015",0
"Darin Russell",2015-09-28,"Fall 2015",70
"Sahl al-Sader",2015-09-28,"Fall 2015",140
"Benjamin Babatunde",2015-09-29,"Fall 2015",0
"Joo Garand",2015-09-29,"Fall 2015",0
"Aiden Jaeger",2015-09-29,"Fall 2015",0
"Tony Cha",2015-09-29,"Fall 2015",800
"Kevin Querubin",2015-09-29,"Fall 2015",800
"Kordell Thompson",2015-09-29,"Fall 2015",0
"Joaquin Martinez",2015-09-29,"Fall 2015",800
"Rocky Mccarty",2015-09-29,"Fall 2015",1280
"Keandre Johnson",2015-09-29,"Fall 2015",0
"Scott Lucero",2015-09-29,"Fall 2015",1120
"Max Zuniga",2015-09-29,"Fall 2015",0
"Torben Mcclelland",2015-09-29,"Fall 2015",1440
"Steve Galligan",2015-09-29,"Fall 2015",1120
"Marzooq al-Fahs",2015-09-29,"Fall 2015",320
"Muhaajir al-Mirza",2015-09-29,"Fall 2015",1120
"Shawn James",2015-09-29,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-29,"Fall 2015",480
"Taaha el-Qazi",2015-09-29,"Fall 2015",1120
"Lawrence Tamayo",2015-09-29,"Fall 2015",640
"Bishr el-Hamdan",2015-09-29,"Fall 2015",0
"Arun Bruckner",2015-09-29,"Fall 2015",0
"Mori Tani",2015-09-29,"Fall 2015",640
"Saleem el-Sham",2015-09-29,"Fall 2015",0
"Kong Meng Hutchinson",2015-09-29,"Fall 2015",0
"Naadir el-Mahdavi",2015-09-29,"Fall 2015",1120
"Tayyib al-Wahab",2015-09-29,"Fall 2015",0
"Brandon Troxel",2015-09-29,"Fall 2015",1120
"Aqeel al-Hossain",2015-09-29,"Fall 2015",0
"Darin Russell",2015-09-29,"Fall 2015",960
"Sahl al-Sader",2015-09-29,"Fall 2015",1280
"Benjamin Babatunde",2015-09-30,"Fall 2015",180
"Joo Garand",2015-09-30,"Fall 2015",240
"Aiden Jaeger",2015-09-30,"Fall 2015",0
"Tony Cha",2015-09-30,"Fall 2015",0
"Kevin Querubin",2015-09-30,"Fall 2015",0
"Kordell Thompson",2015-09-30,"Fall 2015",240
"Joaquin Martinez",2015-09-30,"Fall 2015",0
"Rocky Mccarty",2015-09-30,"Fall 2015",0
"Keandre Johnson",2015-09-30,"Fall 2015",240
"Scott Lucero",2015-09-30,"Fall 2015",60
"Max Zuniga",2015-09-30,"Fall 2015",0
"Torben Mcclelland",2015-09-30,"Fall 2015",0
"Steve Galligan",2015-09-30,"Fall 2015",0
"Marzooq al-Fahs",2015-09-30,"Fall 2015",240
"Muhaajir al-Mirza",2015-09-30,"Fall 2015",0
"Shawn James",2015-09-30,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-30,"Fall 2015",60
"Taaha el-Qazi",2015-09-30,"Fall 2015",0
"Lawrence Tamayo",2015-09-30,"Fall 2015",0
"Bishr el-Hamdan",2015-09-30,"Fall 2015",240
"Arun Bruckner",2015-09-30,"Fall 2015",180
"Mori Tani",2015-09-30,"Fall 2015",0
"Saleem el-Sham",2015-09-30,"Fall 2015",240
"Kong Meng Hutchinson",2015-09-30,"Fall 2015",0
"Naadir el-Mahdavi",2015-09-30,"Fall 2015",0
"Tayyib al-Wahab",2015-09-30,"Fall 2015",300
"Brandon Troxel",2015-09-30,"Fall 2015",0
"Aqeel al-Hossain",2015-09-30,"Fall 2015",0
"Darin Russell",2015-09-30,"Fall 2015",0
"Sahl al-Sader",2015-09-30,"Fall 2015",0
"Benjamin Babatunde",2015-10-01,"Fall 2015",100
"Joo Garand",2015-10-01,"Fall 2015",150
"Aiden Jaeger",2015-10-01,"Fall 2015",0
"Tony Cha",2015-10-01,"Fall 2015",100
"Kevin Querubin",2015-10-01,"Fall 2015",100
"Kordell Thompson",2015-10-01,"Fall 2015",100
"Joaquin Martinez",2015-10-01,"Fall 2015",100
"Rocky Mccarty",2015-10-01,"Fall 2015",100
"Keandre Johnson",2015-10-01,"Fall 2015",100
"Scott Lucero",2015-10-01,"Fall 2015",100
"Max Zuniga",2015-10-01,"Fall 2015",0
"Torben Mcclelland",2015-10-01,"Fall 2015",0
"Steve Galligan",2015-10-01,"Fall 2015",100
"Marzooq al-Fahs",2015-10-01,"Fall 2015",100
"Muhaajir al-Mirza",2015-10-01,"Fall 2015",100
"Shawn James",2015-10-01,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-01,"Fall 2015",50
"Taaha el-Qazi",2015-10-01,"Fall 2015",100
"Lawrence Tamayo",2015-10-01,"Fall 2015",100
"Bishr el-Hamdan",2015-10-01,"Fall 2015",200
"Arun Bruckner",2015-10-01,"Fall 2015",200
"Mori Tani",2015-10-01,"Fall 2015",150
"Saleem el-Sham",2015-10-01,"Fall 2015",150
"Kong Meng Hutchinson",2015-10-01,"Fall 2015",100
"Naadir el-Mahdavi",2015-10-01,"Fall 2015",50
"Tayyib al-Wahab",2015-10-01,"Fall 2015",150
"Brandon Troxel",2015-10-01,"Fall 2015",50
"Aqeel al-Hossain",2015-10-01,"Fall 2015",150
"Darin Russell",2015-10-01,"Fall 2015",100
"Sahl al-Sader",2015-10-01,"Fall 2015",100
"Benjamin Babatunde",2015-10-02,"Fall 2015",0
"Joo Garand",2015-10-02,"Fall 2015",0
"Aiden Jaeger",2015-10-02,"Fall 2015",0
"Tony Cha",2015-10-02,"Fall 2015",465
"Kevin Querubin",2015-10-02,"Fall 2015",620
"Kordell Thompson",2015-10-02,"Fall 2015",0
"Joaquin Martinez",2015-10-02,"Fall 2015",620
"Rocky Mccarty",2015-10-02,"Fall 2015",1085
"Keandre Johnson",2015-10-02,"Fall 2015",225
"Scott Lucero",2015-10-02,"Fall 2015",150
"Max Zuniga",2015-10-02,"Fall 2015",0
"Torben Mcclelland",2015-10-02,"Fall 2015",1240
"Steve Galligan",2015-10-02,"Fall 2015",1085
"Marzooq al-Fahs",2015-10-02,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-02,"Fall 2015",775
"Shawn James",2015-10-02,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-02,"Fall 2015",465
"Taaha el-Qazi",2015-10-02,"Fall 2015",1395
"Lawrence Tamayo",2015-10-02,"Fall 2015",310
"Bishr el-Hamdan",2015-10-02,"Fall 2015",0
"Arun Bruckner",2015-10-02,"Fall 2015",0
"Mori Tani",2015-10-02,"Fall 2015",0
"Saleem el-Sham",2015-10-02,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-02,"Fall 2015",1085
"Naadir el-Mahdavi",2015-10-02,"Fall 2015",1085
"Tayyib al-Wahab",2015-10-02,"Fall 2015",0
"Brandon Troxel",2015-10-02,"Fall 2015",1240
"Aqeel al-Hossain",2015-10-02,"Fall 2015",0
"Darin Russell",2015-10-02,"Fall 2015",0
"Sahl al-Sader",2015-10-02,"Fall 2015",775
"Benjamin Babatunde",2015-10-03,"Fall 2015",0
"Joo Garand",2015-10-03,"Fall 2015",0
"Aiden Jaeger",2015-10-03,"Fall 2015",0
"Tony Cha",2015-10-03,"Fall 2015",0
"Kevin Querubin",2015-10-03,"Fall 2015",0
"Kordell Thompson",2015-10-03,"Fall 2015",0
"Joaquin Martinez",2015-10-03,"Fall 2015",0
"Rocky Mccarty",2015-10-03,"Fall 2015",0
"Keandre Johnson",2015-10-03,"Fall 2015",0
"Scott Lucero",2015-10-03,"Fall 2015",0
"Max Zuniga",2015-10-03,"Fall 2015",0
"Torben Mcclelland",2015-10-03,"Fall 2015",0
"Steve Galligan",2015-10-03,"Fall 2015",0
"Marzooq al-Fahs",2015-10-03,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-03,"Fall 2015",0
"Shawn James",2015-10-03,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-03,"Fall 2015",0
"Taaha el-Qazi",2015-10-03,"Fall 2015",0
"Lawrence Tamayo",2015-10-03,"Fall 2015",0
"Bishr el-Hamdan",2015-10-03,"Fall 2015",0
"Arun Bruckner",2015-10-03,"Fall 2015",0
"Mori Tani",2015-10-03,"Fall 2015",0
"Saleem el-Sham",2015-10-03,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-03,"Fall 2015",0
"Naadir el-Mahdavi",2015-10-03,"Fall 2015",0
"Tayyib al-Wahab",2015-10-03,"Fall 2015",0
"Brandon Troxel",2015-10-03,"Fall 2015",0
"Aqeel al-Hossain",2015-10-03,"Fall 2015",0
"Darin Russell",2015-10-03,"Fall 2015",0
"Sahl al-Sader",2015-10-03,"Fall 2015",0
"Benjamin Babatunde",2015-10-04,"Fall 2015",350
"Joo Garand",2015-10-04,"Fall 2015",210
"Aiden Jaeger",2015-10-04,"Fall 2015",70
"Tony Cha",2015-10-04,"Fall 2015",0
"Kevin Querubin",2015-10-04,"Fall 2015",280
"Kordell Thompson",2015-10-04,"Fall 2015",280
"Joaquin Martinez",2015-10-04,"Fall 2015",0
"Rocky Mccarty",2015-10-04,"Fall 2015",350
"Keandre Johnson",2015-10-04,"Fall 2015",210
"Scott Lucero",2015-10-04,"Fall 2015",210
"Max Zuniga",2015-10-04,"Fall 2015",0
"Torben Mcclelland",2015-10-04,"Fall 2015",0
"Steve Galligan",2015-10-04,"Fall 2015",0
"Marzooq al-Fahs",2015-10-04,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-04,"Fall 2015",0
"Shawn James",2015-10-04,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-04,"Fall 2015",350
"Taaha el-Qazi",2015-10-04,"Fall 2015",0
"Lawrence Tamayo",2015-10-04,"Fall 2015",140
"Bishr el-Hamdan",2015-10-04,"Fall 2015",280
"Arun Bruckner",2015-10-04,"Fall 2015",280
"Mori Tani",2015-10-04,"Fall 2015",420
"Saleem el-Sham",2015-10-04,"Fall 2015",210
"Kong Meng Hutchinson",2015-10-04,"Fall 2015",0
"Naadir el-Mahdavi",2015-10-04,"Fall 2015",0
"Tayyib al-Wahab",2015-10-04,"Fall 2015",490
"Brandon Troxel",2015-10-04,"Fall 2015",0
"Aqeel al-Hossain",2015-10-04,"Fall 2015",0
"Darin Russell",2015-10-04,"Fall 2015",70
"Sahl al-Sader",2015-10-04,"Fall 2015",0
"Benjamin Babatunde",2015-10-05,"Fall 2015",130
"Joo Garand",2015-10-05,"Fall 2015",195
"Aiden Jaeger",2015-10-05,"Fall 2015",65
"Tony Cha",2015-10-05,"Fall 2015",130
"Kevin Querubin",2015-10-05,"Fall 2015",130
"Kordell Thompson",2015-10-05,"Fall 2015",130
"Joaquin Martinez",2015-10-05,"Fall 2015",65
"Rocky Mccarty",2015-10-05,"Fall 2015",130
"Keandre Johnson",2015-10-05,"Fall 2015",130
"Scott Lucero",2015-10-05,"Fall 2015",0
"Max Zuniga",2015-10-05,"Fall 2015",0
"Torben Mcclelland",2015-10-05,"Fall 2015",195
"Steve Galligan",2015-10-05,"Fall 2015",130
"Marzooq al-Fahs",2015-10-05,"Fall 2015",195
"Muhaajir al-Mirza",2015-10-05,"Fall 2015",195
"Shawn James",2015-10-05,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-05,"Fall 2015",195
"Taaha el-Qazi",2015-10-05,"Fall 2015",130
"Lawrence Tamayo",2015-10-05,"Fall 2015",195
"Bishr el-Hamdan",2015-10-05,"Fall 2015",195
"Arun Bruckner",2015-10-05,"Fall 2015",195
"Mori Tani",2015-10-05,"Fall 2015",130
"Saleem el-Sham",2015-10-05,"Fall 2015",195
"Kong Meng Hutchinson",2015-10-05,"Fall 2015",130
"Naadir el-Mahdavi",2015-10-05,"Fall 2015",130
"Tayyib al-Wahab",2015-10-05,"Fall 2015",260
"Brandon Troxel",2015-10-05,"Fall 2015",130
"Aqeel al-Hossain",2015-10-05,"Fall 2015",0
"Darin Russell",2015-10-05,"Fall 2015",0
"Sahl al-Sader",2015-10-05,"Fall 2015",130
"Benjamin Babatunde",2015-10-06,"Fall 2015",0
"Joo Garand",2015-10-06,"Fall 2015",0
"Aiden Jaeger",2015-10-06,"Fall 2015",0
"Tony Cha",2015-10-06,"Fall 2015",1320
"Kevin Querubin",2015-10-06,"Fall 2015",330
"Kordell Thompson",2015-10-06,"Fall 2015",0
"Joaquin Martinez",2015-10-06,"Fall 2015",990
"Rocky Mccarty",2015-10-06,"Fall 2015",0
"Keandre Johnson",2015-10-06,"Fall 2015",1320
"Scott Lucero",2015-10-06,"Fall 2015",825
"Max Zuniga",2015-10-06,"Fall 2015",0
"Torben Mcclelland",2015-10-06,"Fall 2015",1320
"Steve Galligan",2015-10-06,"Fall 2015",990
"Marzooq al-Fahs",2015-10-06,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-06,"Fall 2015",330
"Shawn James",2015-10-06,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-06,"Fall 2015",0
"Taaha el-Qazi",2015-10-06,"Fall 2015",1155
"Lawrence Tamayo",2015-10-06,"Fall 2015",660
"Bishr el-Hamdan",2015-10-06,"Fall 2015",0
"Arun Bruckner",2015-10-06,"Fall 2015",0
"Mori Tani",2015-10-06,"Fall 2015",495
"Saleem el-Sham",2015-10-06,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-06,"Fall 2015",1320
"Naadir el-Mahdavi",2015-10-06,"Fall 2015",1320
"Tayyib al-Wahab",2015-10-06,"Fall 2015",0
"Brandon Troxel",2015-10-06,"Fall 2015",1320
"Aqeel al-Hossain",2015-10-06,"Fall 2015",0
"Darin Russell",2015-10-06,"Fall 2015",660
"Sahl al-Sader",2015-10-06,"Fall 2015",1320
"Benjamin Babatunde",2015-10-07,"Fall 2015",0
"Joo Garand",2015-10-07,"Fall 2015",0
"Aiden Jaeger",2015-10-07,"Fall 2015",0
"Tony Cha",2015-10-07,"Fall 2015",0
"Kevin Querubin",2015-10-07,"Fall 2015",0
"Kordell Thompson",2015-10-07,"Fall 2015",0
"Joaquin Martinez",2015-10-07,"Fall 2015",0
"Rocky Mccarty",2015-10-07,"Fall 2015",0
"Keandre Johnson",2015-10-07,"Fall 2015",0
"Scott Lucero",2015-10-07,"Fall 2015",0
"Max Zuniga",2015-10-07,"Fall 2015",0
"Torben Mcclelland",2015-10-07,"Fall 2015",0
"Steve Galligan",2015-10-07,"Fall 2015",0
"Marzooq al-Fahs",2015-10-07,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-07,"Fall 2015",0
"Shawn James",2015-10-07,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-10-07,"Fall 2015",0
"Taaha el-Qazi",2015-10-07,"Fall 2015",0
"Lawrence Tamayo",2015-10-07,"Fall 2015",0
"Bishr el-Hamdan",2015-10-07,"Fall 2015",0
"Arun Bruckner",2015-10-07,"Fall 2015",0
"Mori Tani",2015-10-07,"Fall 2015",0
"Saleem el-Sham",2015-10-07,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-07,"Fall 2015",0
"Naadir el-Mahdavi",2015-10-07,"Fall 2015",0
"Tayyib al-Wahab",2015-10-07,"Fall 2015",0
"Brandon Troxel",2015-10-07,"Fall 2015",0
"Aqeel al-Hossain",2015-10-07,"Fall 2015",0
"Darin Russell",2015-10-07,"Fall 2015",0
"Sahl al-Sader",2015-10-07,"Fall 2015",0
"Benjamin Babatunde",2015-10-08,"Fall 2015",375
"Joo Garand",2015-10-08,"Fall 2015",375
"Aiden Jaeger",2015-10-08,"Fall 2015",220
"Tony Cha",2015-10-08,"Fall 2015",160
"Kevin Querubin",2015-10-08,"Fall 2015",735
"Kordell Thompson",2015-10-08,"Fall 2015",400
"Joaquin Martinez",2015-10-08,"Fall 2015",165
"Rocky Mccarty",2015-10-08,"Fall 2015",390
"Keandre Johnson",2015-10-08,"Fall 2015",210
"Scott Lucero",2015-10-08,"Fall 2015",540
"Max Zuniga",2015-10-08,"Fall 2015",200
"Torben Mcclelland",2015-10-08,"Fall 2015",130
"Steve Galligan",2015-10-08,"Fall 2015",110
"Marzooq al-Fahs",2015-10-08,"Fall 2015",450
"Muhaajir al-Mirza",2015-10-08,"Fall 2015",160
"Shawn James",2015-10-08,"Fall 2015",150
"Andrew Ortiz-Gonzales",2015-10-08,"Fall 2015",700
"Taaha el-Qazi",2015-10-08,"Fall 2015",90
"Lawrence Tamayo",2015-10-08,"Fall 2015",375
"Bishr el-Hamdan",2015-10-08,"Fall 2015",600
"Arun Bruckner",2015-10-08,"Fall 2015",300
"Mori Tani",2015-10-08,"Fall 2015",600
"Saleem el-Sham",2015-10-08,"Fall 2015",225
"Kong Meng Hutchinson",2015-10-08,"Fall 2015",0
"Naadir el-Mahdavi",2015-10-08,"Fall 2015",115
"Tayyib al-Wahab",2015-10-08,"Fall 2015",600
"Brandon Troxel",2015-10-08,"Fall 2015",30
"Aqeel al-Hossain",2015-10-08,"Fall 2015",300
"Darin Russell",2015-10-08,"Fall 2015",255
"Sahl al-Sader",2015-10-08,"Fall 2015",180
"Benjamin Babatunde",2015-10-09,"Fall 2015",210
"Joo Garand",2015-10-09,"Fall 2015",210
"Aiden Jaeger",2015-10-09,"Fall 2015",140
"Tony Cha",2015-10-09,"Fall 2015",210
"Kevin Querubin",2015-10-09,"Fall 2015",140
"Kordell Thompson",2015-10-09,"Fall 2015",140
"Joaquin Martinez",2015-10-09,"Fall 2015",70
"Rocky Mccarty",2015-10-09,"Fall 2015",140
"Keandre Johnson",2015-10-09,"Fall 2015",70
"Scott Lucero",2015-10-09,"Fall 2015",140
"Max Zuniga",2015-10-09,"Fall 2015",70
"Torben Mcclelland",2015-10-09,"Fall 2015",140
"Steve Galligan",2015-10-09,"Fall 2015",140
"Marzooq al-Fahs",2015-10-09,"Fall 2015",140
"Muhaajir al-Mirza",2015-10-09,"Fall 2015",210
"Andrew Ortiz-Gonzales",2015-10-09,"Fall 2015",140
"Taaha el-Qazi",2015-10-09,"Fall 2015",140
"Lawrence Tamayo",2015-10-09,"Fall 2015",210
"Bishr el-Hamdan",2015-10-09,"Fall 2015",140
"Arun Bruckner",2015-10-09,"Fall 2015",140
"Mori Tani",2015-10-09,"Fall 2015",210
"Saleem el-Sham",2015-10-09,"Fall 2015",210
"Kong Meng Hutchinson",2015-10-09,"Fall 2015",0
"Naadir el-Mahdavi",2015-10-09,"Fall 2015",70
"Tayyib al-Wahab",2015-10-09,"Fall 2015",210
"Brandon Troxel",2015-10-09,"Fall 2015",70
"Aqeel al-Hossain",2015-10-09,"Fall 2015",210
"Darin Russell",2015-10-09,"Fall 2015",70
"Sahl al-Sader",2015-10-09,"Fall 2015",140
"Benjamin Babatunde",2015-10-10,"Fall 2015",0
"Joo Garand",2015-10-10,"Fall 2015",0
"Aiden Jaeger",2015-10-10,"Fall 2015",0
"Tony Cha",2015-10-10,"Fall 2015",540
"Kevin Querubin",2015-10-10,"Fall 2015",405
"Kordell Thompson",2015-10-10,"Fall 2015",0
"Joaquin Martinez",2015-10-10,"Fall 2015",675
"Rocky Mccarty",2015-10-10,"Fall 2015",675
"Keandre Johnson",2015-10-10,"Fall 2015",1080
"Scott Lucero",2015-10-10,"Fall 2015",0
"Max Zuniga",2015-10-10,"Fall 2015",0
"Torben Mcclelland",2015-10-10,"Fall 2015",945
"Steve Galligan",2015-10-10,"Fall 2015",540
"Marzooq al-Fahs",2015-10-10,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-10,"Fall 2015",675
"Andrew Ortiz-Gonzales",2015-10-10,"Fall 2015",0
"Taaha el-Qazi",2015-10-10,"Fall 2015",675
"Lawrence Tamayo",2015-10-10,"Fall 2015",405
"Bishr el-Hamdan",2015-10-10,"Fall 2015",0
"Arun Bruckner",2015-10-10,"Fall 2015",0
"Mori Tani",2015-10-10,"Fall 2015",0
"Saleem el-Sham",2015-10-10,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-10,"Fall 2015",1080
"Naadir el-Mahdavi",2015-10-10,"Fall 2015",945
"Tayyib al-Wahab",2015-10-10,"Fall 2015",0
"Brandon Troxel",2015-10-10,"Fall 2015",810
"Aqeel al-Hossain",2015-10-10,"Fall 2015",540
"Darin Russell",2015-10-10,"Fall 2015",675
"Sahl al-Sader",2015-10-10,"Fall 2015",945
"Benjamin Babatunde",2015-10-11,"Fall 2015",210
"Joo Garand",2015-10-11,"Fall 2015",210
"Aiden Jaeger",2015-10-11,"Fall 2015",280
"Tony Cha",2015-10-11,"Fall 2015",30
"Kevin Querubin",2015-10-11,"Fall 2015",350
"Kordell Thompson",2015-10-11,"Fall 2015",140
"Joaquin Martinez",2015-10-11,"Fall 2015",30
"Rocky Mccarty",2015-10-11,"Fall 2015",0
"Keandre Johnson",2015-10-11,"Fall 2015",30
"Scott Lucero",2015-10-11,"Fall 2015",280
"Max Zuniga",2015-10-11,"Fall 2015",280
"Torben Mcclelland",2015-10-11,"Fall 2015",30
"Steve Galligan",2015-10-11,"Fall 2015",280
"Marzooq al-Fahs",2015-10-11,"Fall 2015",280
"Muhaajir al-Mirza",2015-10-11,"Fall 2015",30
"Andrew Ortiz-Gonzales",2015-10-11,"Fall 2015",210
"Taaha el-Qazi",2015-10-11,"Fall 2015",30
"Lawrence Tamayo",2015-10-11,"Fall 2015",210
"Bishr el-Hamdan",2015-10-11,"Fall 2015",280
"Arun Bruckner",2015-10-11,"Fall 2015",210
"Mori Tani",2015-10-11,"Fall 2015",490
"Saleem el-Sham",2015-10-11,"Fall 2015",210
"Kong Meng Hutchinson",2015-10-11,"Fall 2015",30
"Naadir el-Mahdavi",2015-10-11,"Fall 2015",30
"Tayyib al-Wahab",2015-10-11,"Fall 2015",490
"Brandon Troxel",2015-10-11,"Fall 2015",30
"Aqeel al-Hossain",2015-10-11,"Fall 2015",420
"Darin Russell",2015-10-11,"Fall 2015",30
"Sahl al-Sader",2015-10-11,"Fall 2015",0
"Benjamin Babatunde",2015-10-12,"Fall 2015",225
"Joo Garand",2015-10-12,"Fall 2015",150
"Aiden Jaeger",2015-10-12,"Fall 2015",75
"Tony Cha",2015-10-12,"Fall 2015",225
"Kevin Querubin",2015-10-12,"Fall 2015",225
"Kordell Thompson",2015-10-12,"Fall 2015",150
"Joaquin Martinez",2015-10-12,"Fall 2015",75
"Rocky Mccarty",2015-10-12,"Fall 2015",225
"Keandre Johnson",2015-10-12,"Fall 2015",120
"Scott Lucero",2015-10-12,"Fall 2015",225
"Max Zuniga",2015-10-12,"Fall 2015",0
"Torben Mcclelland",2015-10-12,"Fall 2015",150
"Steve Galligan",2015-10-12,"Fall 2015",225
"Marzooq al-Fahs",2015-10-12,"Fall 2015",150
"Muhaajir al-Mirza",2015-10-12,"Fall 2015",225
"Andrew Ortiz-Gonzales",2015-10-12,"Fall 2015",150
"Taaha el-Qazi",2015-10-12,"Fall 2015",225
"Lawrence Tamayo",2015-10-12,"Fall 2015",225
"Bishr el-Hamdan",2015-10-12,"Fall 2015",300
"Arun Bruckner",2015-10-12,"Fall 2015",150
"Mori Tani",2015-10-12,"Fall 2015",225
"Saleem el-Sham",2015-10-12,"Fall 2015",225
"Kong Meng Hutchinson",2015-10-12,"Fall 2015",150
"Naadir el-Mahdavi",2015-10-12,"Fall 2015",75
"Tayyib al-Wahab",2015-10-12,"Fall 2015",225
"Brandon Troxel",2015-10-12,"Fall 2015",150
"Aqeel al-Hossain",2015-10-12,"Fall 2015",150
"Darin Russell",2015-10-12,"Fall 2015",75
"Sahl al-Sader",2015-10-12,"Fall 2015",225
"Benjamin Babatunde",2015-10-13,"Fall 2015",0
"Joo Garand",2015-10-13,"Fall 2015",0
"Aiden Jaeger",2015-10-13,"Fall 2015",405
"Tony Cha",2015-10-13,"Fall 2015",540
"Kevin Querubin",2015-10-13,"Fall 2015",0
"Kordell Thompson",2015-10-13,"Fall 2015",0
"Joaquin Martinez",2015-10-13,"Fall 2015",675
"Rocky Mccarty",2015-10-13,"Fall 2015",0
"Keandre Johnson",2015-10-13,"Fall 2015",1215
"Scott Lucero",2015-10-13,"Fall 2015",0
"Max Zuniga",2015-10-13,"Fall 2015",0
"Torben Mcclelland",2015-10-13,"Fall 2015",810
"Steve Galligan",2015-10-13,"Fall 2015",0
"Marzooq al-Fahs",2015-10-13,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-13,"Fall 2015",945
"Andrew Ortiz-Gonzales",2015-10-13,"Fall 2015",0
"Taaha el-Qazi",2015-10-13,"Fall 2015",945
"Lawrence Tamayo",2015-10-13,"Fall 2015",540
"Bishr el-Hamdan",2015-10-13,"Fall 2015",0
"Arun Bruckner",2015-10-13,"Fall 2015",0
"Mori Tani",2015-10-13,"Fall 2015",0
"Saleem el-Sham",2015-10-13,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-13,"Fall 2015",945
"Naadir el-Mahdavi",2015-10-13,"Fall 2015",945
"Tayyib al-Wahab",2015-10-13,"Fall 2015",0
"Brandon Troxel",2015-10-13,"Fall 2015",675
"Aqeel al-Hossain",2015-10-13,"Fall 2015",810
"Darin Russell",2015-10-13,"Fall 2015",1080
"Sahl al-Sader",2015-10-13,"Fall 2015",945
"Benjamin Babatunde",2015-10-14,"Fall 2015",120
"Joo Garand",2015-10-14,"Fall 2015",150
"Aiden Jaeger",2015-10-14,"Fall 2015",180
"Tony Cha",2015-10-14,"Fall 2015",0
"Kevin Querubin",2015-10-14,"Fall 2015",195
"Kordell Thompson",2015-10-14,"Fall 2015",200
"Joaquin Martinez",2015-10-14,"Fall 2015",180
"Rocky Mccarty",2015-10-14,"Fall 2015",180
"Keandre Johnson",2015-10-14,"Fall 2015",120
"Scott Lucero",2015-10-14,"Fall 2015",240
"Max Zuniga",2015-10-14,"Fall 2015",80
"Torben Mcclelland",2015-10-14,"Fall 2015",0
"Steve Galligan",2015-10-14,"Fall 2015",180
"Marzooq al-Fahs",2015-10-14,"Fall 2015",0
"Muhaajir al-Mirza",2015-10-14,"Fall 2015",90
"Andrew Ortiz-Gonzales",2015-10-14,"Fall 2015",140
"Taaha el-Qazi",2015-10-14,"Fall 2015",120
"Lawrence Tamayo",2015-10-14,"Fall 2015",240
"Bishr el-Hamdan",2015-10-14,"Fall 2015",180
"Arun Bruckner",2015-10-14,"Fall 2015",30
"Mori Tani",2015-10-14,"Fall 2015",90
"Saleem el-Sham",2015-10-14,"Fall 2015",0
"Kong Meng Hutchinson",2015-10-14,"Fall 2015",120
"Naadir el-Mahdavi",2015-10-14,"Fall 2015",0
"Tayyib al-Wahab",2015-10-14,"Fall 2015",180
"Brandon Troxel",2015-10-14,"Fall 2015",0
"Aqeel al-Hossain",2015-10-14,"Fall 2015",30
"Darin Russell",2015-10-14,"Fall 2015",225
"Sahl al-Sader",2015-10-14,"Fall 2015",0
"Benjamin Babatunde",2015-10-15,"Fall 2015",360
"Joo Garand",2015-10-15,"Fall 2015",360
"Aiden Jaeger",2015-10-15,"Fall 2015",360
